,channel_1,channel_2,theta,alpha,beta,gamma
189,T7-1,C4-0,0.11746923382809575,0.0493580862666309,0.058367791925714965,0.1098897324708221
190,T7-1,T8-0,0.13366165123187282,0.10656879738879853,0.07372197128141696,0.08820466792769867
191,T7-1,P8-0,0.12882561063407394,0.05445621185267405,0.1364273202691988,0.06235788994877689
192,P7-1,C3-0,0.11822876105934232,0.08786572143462003,0.02958893819977295,0.09045783727423104
193,P7-1,T7-0,0.14537433686263726,0.16682901680704004,0.053563052575179064,0.09890098948066027
194,P7-1,P7-0,0.11353195735910444,0.09727472222989564,0.0455027471701545,0.07162343959733937
195,P7-1,C4-0,0.0484303080696763,0.018962741234254274,0.052616482944393736,0.08095021484606123
196,P7-1,T8-0,0.05968615886633932,0.04543972965913183,0.15242106638208994,0.1225213037955851
197,P7-1,P8-0,0.09944131959039564,0.05280007875049415,0.04350188601423263,0.05187991106470883
198,C4-1,C3-0,0.05902364925371841,0.02102878764944669,0.13248489111062287,0.09960910577128228
199,C4-1,T7-0,0.1288023085810385,0.060984793262041426,0.1279048617140734,0.07709987193306447
200,C4-1,P7-0,0.04451494555486784,0.04300565921411648,0.17476508114738956,0.04063959338359617
201,C4-1,C4-0,0.07580020648041448,0.04136111635394401,0.053919065705803085,0.104756212482476
202,C4-1,T8-0,0.055181603748265716,0.20416131324845954,0.2337134558701888,0.07813430964466499
203,C4-1,P8-0,0.02766154460710571,0.09751519937764826,0.07351952070521554,0.09287256885730298
204,T8-1,C3-0,0.09957797837793253,0.018711756022390738,0.04617917253388138,0.06572335862955156
205,T8-1,T7-0,0.11999891495168627,0.09446523959833666,0.08156022399938209,0.0572644115406362
206,T8-1,P7-0,0.11394929052723594,0.07208478597559388,0.06862730725971203,0.12284738618438268
207,T8-1,C4-0,0.06708103691533968,0.03524323116040187,0.09481417266224453,0.11751707481921568
208,T8-1,T8-0,0.0978721431281817,0.11153834168594542,0.1467893472041258,0.0598314377937466
209,T8-1,P8-0,0.11282891844513007,0.05162891558924988,0.05085679967736062,0.0533189380395645
210,P8-1,C3-0,0.05084273447543272,0.16447507763388686,0.08927200808998423,0.14371932583516794
211,P8-1,T7-0,0.14006816676635245,0.09853793754165713,0.1217906782780105,0.07966106380113286
212,P8-1,P7-0,0.07324219027699568,0.10314227198959464,0.10089521963682233,0.062194054681895275
213,P8-1,C4-0,0.07802101141966096,0.0875684307934703,0.11616940738054922,0.17289155931203254
214,P8-1,T8-0,0.022556689217798114,0.028851345210003005,0.11351798143662742,0.05321512183027375
